timestamp,open,high,low,close
2009-12-31 22:00:00+00:00,1.4312,1.4312,1.4312,1.4312
2010-01-02 22:00:00+00:00,1.4312,1.43425,1.42926,1.43036
2010-01-03 22:00:00+00:00,1.4303,1.4456,1.42576,1.44127
2010-01-04 22:00:00+00:00,1.44123,1.44839,1.43468,1.4365
2010-01-05 22:00:00+00:00,1.43665,1.44346,1.42832,1.44078
2010-01-06 22:00:00+00:00,1.44074,1.44464,1.42996,1.43079
2010-01-07 22:00:00+00:00,1.43089,1.44388,1.42644,1.44055
2010-01-08 22:00:00+00:00,1.43998,1.44098,1.43998,1.44098
2010-01-09 22:00:00+00:00,1.44078,1.44416,1.44078,1.44268
2010-01-10 22:00:00+00:00,1.44271,1.45568,1.44095,1.45132
2010-01-11 22:00:00+00:00,1.45129,1.45462,1.44538,1.44858
2010-01-12 22:00:00+00:00,1.44855,1.45792,1.44566,1.45105
2010-01-13 22:00:00+00:00,1.45096,1.45558,1.44466,1.44996
2010-01-14 22:00:00+00:00,1.44989,1.45118,1.43368,1.43863
2010-01-15 22:00:00+00:00,1.43842,1.43861,1.43842,1.43861
2010-01-16 22:00:00+00:00,1.43821,1.43873,1.43346,1.43562
2010-01-17 22:00:00+00:00,1.43562,1.44,1.43354,1.43836
2010-01-18 22:00:00+00:00,1.43833,1.44142,1.4253,1.42873
2010-01-19 22:00:00+00:00,1.42875,1.42956,1.40802,1.41061
2010-01-20 22:00:00+00:00,1.41058,1.41433,1.40292,1.40842
2010-01-21 22:00:00+00:00,1.40863,1.41818,1.40666,1.41362
2010-01-22 22:00:00+00:00,1.41364,1.41364,1.41357,1.41357
2010-01-23 22:00:00+00:00,1.41326,1.41692,1.41115,1.41575
2010-01-24 22:00:00+00:00,1.4158,1.41942,1.4129,1.41513
2010-01-25 22:00:00+00:00,1.41511,1.41793,1.40424,1.40719
2010-01-26 22:00:00+00:00,1.40723,1.4097,1.39932,1.40239
2010-01-27 22:00:00+00:00,1.40243,1.40522,1.39337,1.3971
2010-01-28 22:00:00+00:00,1.39714,1.39874,1.38623,1.38624
2010-01-29 22:00:00+00:00,1.38624,1.38624,1.38624,1.38624
2010-01-30 22:00:00+00:00,1.38664,1.38727,1.38535,1.38646
2010-01-31 22:00:00+00:00,1.38654,1.39385,1.38534,1.39306
2010-02-01 22:00:00+00:00,1.39309,1.39748,1.38864,1.39644
2010-02-02 22:00:00+00:00,1.39641,1.40264,1.38861,1.38937
2010-02-03 22:00:00+00:00,1.38933,1.39031,1.37229,1.37232
2010-02-04 22:00:00+00:00,1.37237,1.37467,1.35858,1.3679
2010-02-05 22:00:00+00:00,1.3679,1.3679,1.3679,1.3679
2010-02-06 22:00:00+00:00,1.36915,1.37186,1.36554,1.36602
2010-02-07 22:00:00+00:00,1.36597,1.37136,1.3621,1.36489
2010-02-08 22:00:00+00:00,1.36493,1.38392,1.36437,1.37974
2010-02-09 22:00:00+00:00,1.3798,1.38124,1.36762,1.37373
2010-02-10 22:00:00+00:00,1.37379,1.3801,1.35952,1.36933
2010-02-11 22:00:00+00:00,1.36927,1.36953,1.35318,1.36318
2010-02-12 22:00:00+00:00,1.36333,1.36333,1.36333,1.36333
2010-02-13 22:00:00+00:00,1.36283,1.36342,1.36029,1.36267
2010-02-14 22:00:00+00:00,1.36269,1.36338,1.35792,1.35982
2010-02-15 22:00:00+00:00,1.35985,1.37796,1.35883,1.37706
2010-02-16 22:00:00+00:00,1.37713,1.37884,1.35857,1.36066
2010-02-17 22:00:00+00:00,1.36061,1.36546,1.34976,1.3527
2010-02-18 22:00:00+00:00,1.3526,1.36184,1.34438,1.36124
2010-02-19 22:00:00+00:00,1.36145,1.36145,1.3612,1.3612
2010-02-20 22:00:00+00:00,1.3616,1.36501,1.3616,1.36393
2010-02-21 22:00:00+00:00,1.36377,1.36538,1.35738,1.35958
2010-02-22 22:00:00+00:00,1.3597,1.3692,1.34972,1.35073
2010-02-23 22:00:00+00:00,1.3507,1.36272,1.35025,1.35398
2010-02-24 22:00:00+00:00,1.35401,1.35708,1.34522,1.35484
2010-02-25 22:00:00+00:00,1.3548,1.36832,1.35308,1.36318
2010-02-26 22:00:00+00:00,1.36323,1.36323,1.36288,1.36288
2010-02-27 22:00:00+00:00,1.36328,1.36651,1.36186,1.36246
2010-02-28 22:00:00+00:00,1.36252,1.36542,1.3461,1.356
2010-03-01 22:00:00+00:00,1.35611,1.36222,1.34346,1.36149
2010-03-02 22:00:00+00:00,1.36145,1.37362,1.35928,1.36965
2010-03-03 22:00:00+00:00,1.36976,1.37127,1.35516,1.35813
2010-03-04 22:00:00+00:00,1.35815,1.36304,1.35306,1.3625
